match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder,id,venue,current_score,target_runs,runs_left,over_ball,balls_left,wickets,crr,rrr,result
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,3,4,SC Ganguly,AA Noffke,BB McCullum,4,0,4,,0,,,,335982.0,M Chinnaswamy Stadium,43,200,157,3.6666666666666665,98,0,11.727272727272728,9.612244897959185,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,3,5,SC Ganguly,AA Noffke,BB McCullum,0,0,0,,0,,,,335982.0,M Chinnaswamy Stadium,43,200,157,3.8333333333333335,97,0,11.217391304347826,9.711340206185566,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,3,6,SC Ganguly,AA Noffke,BB McCullum,1,0,1,,0,,,,335982.0,M Chinnaswamy Stadium,44,200,156,4.0,96,0,11.0,9.75,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,3,7,BB McCullum,AA Noffke,SC Ganguly,6,0,6,,0,,,,335982.0,M Chinnaswamy Stadium,50,200,150,4.166666666666667,95,0,12.0,9.473684210526315,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,1,SC Ganguly,P Kumar,BB McCullum,4,0,4,,0,,,,335982.0,M Chinnaswamy Stadium,54,200,146,4.166666666666667,95,0,12.959999999999999,9.221052631578948,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,2,SC Ganguly,P Kumar,BB McCullum,1,0,1,,0,,,,335982.0,M Chinnaswamy Stadium,55,200,145,4.333333333333333,94,0,12.692307692307693,9.25531914893617,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,3,BB McCullum,P Kumar,SC Ganguly,4,0,4,,0,,,,335982.0,M Chinnaswamy Stadium,59,200,141,4.5,93,0,13.11111111111111,9.096774193548388,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,4,BB McCullum,P Kumar,SC Ganguly,0,0,0,,0,,,,335982.0,M Chinnaswamy Stadium,59,200,141,4.666666666666667,92,0,12.642857142857142,9.195652173913043,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,5,BB McCullum,P Kumar,SC Ganguly,1,0,1,,0,,,,335982.0,M Chinnaswamy Stadium,60,200,140,4.833333333333333,91,0,12.413793103448276,9.230769230769232,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,6,SC Ganguly,P Kumar,BB McCullum,0,0,0,,0,,,,335982.0,M Chinnaswamy Stadium,60,200,140,5.0,90,0,12.0,9.333333333333334,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,1,BB McCullum,Z Khan,SC Ganguly,1,0,1,,0,,,,335982.0,M Chinnaswamy Stadium,61,200,139,5.166666666666667,89,0,11.806451612903226,9.370786516853933,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,2,SC Ganguly,Z Khan,BB McCullum,0,0,0,,1,SC Ganguly,caught,JH Kallis,335982.0,M Chinnaswamy Stadium,61,200,139,5.333333333333333,88,1,11.4375,9.477272727272728,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,3,RT Ponting,Z Khan,BB McCullum,0,0,0,,0,,,,335982.0,M Chinnaswamy Stadium,61,200,139,5.5,87,1,11.090909090909092,9.586206896551724,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,4,RT Ponting,Z Khan,BB McCullum,0,0,0,,0,,,,335982.0,M Chinnaswamy Stadium,61,200,139,5.666666666666667,86,1,10.76470588235294,9.69767441860465,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,5,RT Ponting,Z Khan,BB McCullum,0,0,0,,0,,,,335982.0,M Chinnaswamy Stadium,61,200,139,5.833333333333333,85,1,10.457142857142857,9.811764705882354,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,6,RT Ponting,Z Khan,BB McCullum,0,0,0,,0,,,,335982.0,M Chinnaswamy Stadium,61,200,139,6.0,84,1,10.166666666666666,9.928571428571429,0
